Gene_A	Gene_B	Weight
WBGene00001580	WBGene00006868	5.9E-2
WBGene00001905	WBGene00006868	2E-1
WBGene00001911	WBGene00006868	2E-1
WBGene00001948	WBGene00006868	8.3E-2
WBGene00001972	WBGene00006868	3E-2
WBGene00001981	WBGene00006868	1.2E-1
WBGene00002261	WBGene00006868	9.8E-2
WBGene00002827	WBGene00006868	7.7E-2
WBGene00003001	WBGene00006868	1.6E-2
WBGene00003015	WBGene00006868	5E-2
WBGene00003025	WBGene00006868	4.2E-2
WBGene00003040	WBGene00006868	1.1E-1
WBGene00003210	WBGene00006868	2E-1
WBGene00003219	WBGene00006868	2E-1
WBGene00003605	WBGene00006868	9.8E-2
WBGene00003607	WBGene00006868	1.2E-1
WBGene00003639	WBGene00006868	7.1E-2
WBGene00003656	WBGene00006868	2E-1
WBGene00004101	WBGene00006868	5.3E-2
WBGene00004238	WBGene00006868	1.1E-1
WBGene00004264	WBGene00006868	1.1E-1
WBGene00004746	WBGene00006868	4.8E-2
WBGene00006787	WBGene00006868	4.4E-2
WBGene00006844	WBGene00006868	6.2E-2
WBGene00003395	WBGene00006869	2.5E-1
WBGene00004769	WBGene00006869	7.9E-2
WBGene00003395	WBGene00006975	1.6E-1
WBGene00003397	WBGene00006975	1.8E-1
WBGene00004202	WBGene00006975	1.1E-1
WBGene00000186	WBGene00007028	4.8E-2
WBGene00000238	WBGene00007028	4.2E-2
WBGene00000424	WBGene00007028	1.1E-1
WBGene00001161	WBGene00007028	3.1E-2
WBGene00001324	WBGene00007028	3.8E-2
WBGene00001325	WBGene00007028	1.2E-1
WBGene00002335	WBGene00007028	3.1E-2
WBGene00003001	WBGene00007028	5.7E-2
WBGene00003011	WBGene00007028	8.6E-2
WBGene00004769	WBGene00007028	1.8E-2
WBGene00004947	WBGene00007028	4.4E-2
WBGene00006349	WBGene00007028	9.5E-2
WBGene00006868	WBGene00007028	2.2E-2
WBGene00000186	WBGene00007029	5.1E-2
WBGene00000238	WBGene00007029	4.5E-2
WBGene00000424	WBGene00007029	1.2E-1
WBGene00001161	WBGene00007029	3.3E-2
WBGene00001324	WBGene00007029	4E-2
WBGene00002239	WBGene00007029	1.2E-1
WBGene00003011	WBGene00007029	9.1E-2
WBGene00003239	WBGene00007029	1.1E-1
WBGene00004202	WBGene00007029	4.2E-2
WBGene00004769	WBGene00007029	1.9E-2
WBGene00004947	WBGene00007029	4.7E-2
WBGene00006868	WBGene00007029	2.4E-2
WBGene00001324	WBGene00007042	7.5E-2
WBGene00001325	WBGene00007042	2.5E-1
WBGene00002335	WBGene00007042	6.2E-2
WBGene00006349	WBGene00007042	1.9E-1
WBGene00006868	WBGene00007042	4.5E-2
WBGene00001161	WBGene00007554	2.4E-1
WBGene00004947	WBGene00007984	3.2E-1
WBGene00000186	WBGene00008549	6.9E-2
WBGene00001324	WBGene00008549	5.5E-2
WBGene00002335	WBGene00008549	4.5E-2
WBGene00003001	WBGene00008549	8.2E-2
WBGene00004202	WBGene00008549	5.8E-2
WBGene00004769	WBGene00008549	2.6E-2
WBGene00004774	WBGene00008549	9E-2
WBGene00004947	WBGene00008549	6.4E-2
WBGene00006868	WBGene00008549	3.2E-2
WBGene00001161	WBGene00009039	2.4E-1
WBGene00004202	WBGene00009880	1.9E-1
WBGene00004769	WBGene00009880	8.7E-2
WBGene00004769	WBGene00010036	1.7E-1
WBGene00000238	WBGene00010700	3E-1
WBGene00004202	WBGene00011116	2.9E-1
WBGene00002335	WBGene00011150	2.4E-1
WBGene00004769	WBGene00011729	1.7E-1
WBGene00003397	WBGene00012005	3.8E-1
WBGene00001161	WBGene00013135	2.4E-1
WBGene00001161	WBGene00013709	8.8E-2
WBGene00003001	WBGene00013709	1.6E-1
WBGene00004769	WBGene00013709	5.1E-2
WBGene00006868	WBGene00013709	6.4E-2
WBGene00003001	WBGene00015038	3.9E-1
WBGene00006868	WBGene00015146	2E-1
WBGene00000186	WBGene00015203	2.1E-1
WBGene00004202	WBGene00015203	1.7E-1
WBGene00003397	WBGene00015247	3.8E-1
WBGene00002335	WBGene00015650	2.4E-1
WBGene00004769	WBGene00017075	1.7E-1
WBGene00001324	WBGene00017690	2.9E-1
WBGene00002335	WBGene00018010	1.3E-1
WBGene00003395	WBGene00018010	2.3E-1
WBGene00001324	WBGene00018794	2.9E-1
WBGene00004202	WBGene00019947	1.9E-1
WBGene00006868	WBGene00019947	1.1E-1
WBGene00001161	WBGene00020823	1.4E-1
WBGene00002335	WBGene00020823	1.4E-1
WBGene00001324	WBGene00020930	2.9E-1
WBGene00001161	WBGene00022182	8.4E-2
WBGene00003011	WBGene00022182	2.3E-1
WBGene00004769	WBGene00022182	4.8E-2
WBGene00006868	WBGene00022182	6.1E-2
WBGene00000186	WBGene00022631	2.1E-1
WBGene00001324	WBGene00022631	1.6E-1
WBGene00001324	WBGene00022861	9.9E-2
WBGene00001325	WBGene00022861	3.3E-1
WBGene00006349	WBGene00022861	2.5E-1
WBGene00000186	WBGene00044072	1.1E-1
WBGene00001324	WBGene00044072	9E-2
WBGene00004202	WBGene00044072	9.5E-2
WBGene00004769	WBGene00044072	4.2E-2
WBGene00006868	WBGene00044072	5.3E-2
